workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	1.000	0.759	0.845	0.846	0.774	0.767	0.768	0.810	0.722
comm2	1.000	0.773	0.857	0.859	0.796	0.796	0.800	0.822	0.755
comm3	1.000	0.739	0.835	0.821	0.790	0.792	0.800	0.822	0.727
comm4	1.000	0.821	0.844	0.880	0.840	0.831	0.846	0.907	0.795
comm5	1.000	0.784	0.813	0.899	0.807	0.800	0.804	0.872	0.770
leslie	1.000	0.778	0.875	0.878	0.768	0.768	0.768	0.775	0.720
libq	1.000	0.834	0.823	0.930	0.882	0.882	0.882	0.906	0.862
black	1.000	0.803	0.841	0.893	0.810	0.809	0.810	0.893	0.777
face	1.000	0.959	0.858	0.989	0.917	0.917	0.917	0.980	0.917
ferret	1.000	0.856	0.862	0.918	0.825	0.823	0.825	0.855	0.798
fluid	1.000	0.810	0.857	0.912	0.818	0.812	0.818	0.843	0.804
freq	1.000	0.813	0.841	0.924	0.831	0.831	0.831	0.895	0.796
stream	1.000	0.818	0.846	0.890	0.830	0.831	0.830	0.904	0.792
swapt	1.000	0.823	0.850	0.879	0.823	0.826	0.823	0.860	0.796
MT-canneal	1.000	0.797	0.862	0.863	0.803	0.803	0.803	0.819	0.764
MT-fluid	1.000	0.786	0.864	0.797	0.728	0.727	0.728	0.778	0.671
mummer	1.000	0.800	0.866	0.861	0.796	0.796	0.796	0.814	0.751
tigr	1.000	0.828	0.868	0.894	0.809	0.810	0.809	0.830	0.774
Gmean	1.000	0.809	0.850	0.884	0.813	0.811	0.813	0.853	0.775
