workload	comm1	comm2	comm3	comm4	comm5	leslie	libq	black	face	ferret	fluid	freq	stream	swapt	MT-canneal	MT-fluid	mummer	tigr	Amean
20nm_base_bkgd	.383	.368	.411	.441	.461	.402	.355	.423	.367	.367	.415	.416	.403	.409	.362	.499	.368	.365	.391
20nm_base_act	.239	.255	.208	.175	.153	.218	.267	.194	.254	.255	.203	.202	.216	.210	.261	.113	.255	.258	.229
20nm_base_rdwr	.177	.184	.152	.129	.110	.159	.195	.142	.182	.184	.146	.147	.157	.152	.190	.085	.191	.197	.169
20nm_base_ref	.200	.192	.227	.253	.274	.218	.180	.238	.195	.192	.234	.234	.222	.227	.185	.302	.183	.177	.209
20nm_spec_bkgd	.335	.317	.370	.411	.435	.343	.313	.386	.343	.333	.381	.385	.368	.375	.311	.382	.313	.314	.341
20nm_spec_act	.239	.254	.208	.175	.153	.219	.267	.194	.254	.255	.203	.202	.216	.210	.261	.113	.255	.259	.229
20nm_spec_rdwr	.177	.184	.152	.129	.110	.160	.195	.142	.182	.185	.147	.147	.157	.152	.190	.085	.192	.198	.169
20nm_spec_ref	.172	.162	.204	.237	.260	.184	.156	.217	.183	.172	.214	.216	.202	.208	.155	.227	.151	.147	.179
20nm_norefresh_bkgd	.348	.330	.377	.410	.428	.367	.319	.389	.333	.332	.381	.388	.371	.380	.325	.442	.333	.331	.355
20nm_norefresh_act	.238	.255	.208	.175	.153	.218	.267	.194	.255	.254	.202	.202	.216	.210	.260	.113	.255	.258	.229
20nm_norefresh_rdwr	.176	.184	.152	.129	.110	.159	.195	.142	.183	.184	.146	.147	.157	.153	.190	.085	.192	.197	.169
20nm_norefresh_ref	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20nm_ref_pr_pv_64_bkgd	.356	.339	.389	.428	.453	.371	.339	.404	.357	.350	.402	.407	.388	.390	.327	.391	.330	.328	.359
20nm_ref_pr_pv_64_act	.239	.254	.209	.175	.153	.218	.267	.194	.254	.254	.203	.202	.217	.210	.261	.113	.255	.258	.229
20nm_ref_pr_pv_64_rdwr	.177	.184	.152	.129	.110	.159	.195	.142	.182	.184	.146	.147	.158	.153	.190	.085	.191	.197	.169
20nm_ref_pr_pv_64_ref	.183	.173	.213	.245	.268	.198	.170	.226	.189	.180	.225	.228	.212	.214	.163	.229	.160	.154	.188
20nm_ref_pr_pv_default_bkgd	.343	.329	.382	.422	.440	.356	.330	.396	.346	.337	.388	.392	.378	.381	.316	.386	.319	.320	.349
20nm_ref_pr_pv_default_act	.238	.255	.208	.175	.153	.219	.267	.195	.254	.255	.203	.201	.217	.209	.260	.113	.255	.259	.229
20nm_ref_pr_pv_default_rdwr	.176	.184	.152	.129	.110	.160	.195	.143	.182	.184	.147	.146	.158	.152	.190	.085	.191	.198	.169
20nm_ref_pr_pv_default_ref	.103	.104	.134	.155	.143	.107	.102	.145	.104	.101	.123	.138	.137	.118	.096	.151	.097	.097	.112
20nm_ref_pr_pv_multi_dimm_bkgd	.343	.329	.382	.422	.440	.356	.330	.396	.346	.337	.386	.392	.378	.383	.316	.386	.319	.320	.349
20nm_ref_pr_pv_multi_dimm_act	.238	.254	.208	.175	.153	.219	.267	.195	.254	.255	.202	.201	.217	.210	.260	.113	.255	.259	.229
20nm_ref_pr_pv_multi_dimm_rdwr	.176	.184	.152	.129	.111	.160	.195	.143	.183	.184	.146	.146	.158	.153	.190	.085	.191	.198	.169
20nm_ref_pr_pv_multi_dimm_ref	.103	.104	.134	.155	.143	.107	.102	.146	.104	.101	.123	.138	.137	.119	.096	.151	.097	.097	.113
20nm_ref_pr_pv_multi_bin_bkgd	.343	.328	.382	.422	.440	.356	.330	.396	.346	.337	.388	.392	.378	.381	.316	.386	.319	.320	.349
20nm_ref_pr_pv_multi_bin_act	.238	.254	.209	.175	.153	.219	.267	.195	.254	.255	.203	.201	.217	.209	.260	.113	.255	.259	.229
20nm_ref_pr_pv_multi_bin_rdwr	.176	.183	.152	.129	.111	.160	.195	.143	.182	.184	.147	.146	.158	.152	.190	.085	.191	.198	.169
20nm_ref_pr_pv_multi_bin_ref	.103	.104	.134	.155	.143	.107	.102	.145	.104	.101	.123	.138	.137	.118	.096	.151	.097	.097	.112
20nm_ref_pr_pv_fixed_dimm_bkgd	.351	.333	.389	.431	.448	.354	.335	.404	.352	.344	.393	.401	.387	.386	.319	.390	.323	.322	.354
20nm_ref_pr_pv_fixed_dimm_act	.239	.254	.208	.176	.152	.219	.267	.194	.254	.255	.203	.202	.217	.210	.261	.113	.255	.258	.229
20nm_ref_pr_pv_fixed_dimm_rdwr	.176	.184	.152	.129	.110	.159	.195	.142	.182	.185	.147	.147	.158	.152	.190	.085	.192	.197	.169
20nm_ref_pr_pv_fixed_dimm_ref	.149	.138	.200	.247	.265	.147	.126	.226	.149	.146	.175	.224	.209	.167	.119	.177	.118	.114	.151
20nm_ref_pr_pv_fixed_bin_bkgd	.337	.319	.375	.416	.436	.344	.324	.387	.345	.333	.386	.389	.373	.377	.307	.346	.308	.307	.338
20nm_ref_pr_pv_fixed_bin_act	.238	.254	.208	.175	.152	.218	.267	.194	.255	.255	.203	.202	.217	.210	.261	.113	.255	.258	.229
20nm_ref_pr_pv_fixed_bin_rdwr	.176	.183	.152	.129	.110	.159	.195	.142	.183	.184	.147	.147	.158	.153	.190	.085	.192	.198	.169
20nm_ref_pr_pv_fixed_bin_ref	.104	.104	.141	.154	.145	.102	.100	.141	.105	.101	.125	.137	.134	.119	.096	.126	.090	.093	.109
