workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	636424156	548629244	536404456	583426252	568237976	568237976	568237976	570976068	555766640
comm2	876057849	744484169	723665697	791568945	773015849	773015849	773015849	785271209	755454293
comm3	502142545	452827033	433033573	474008657	463243113	463243113	463243113	470381605	456383669
comm4	412797245	384074849	366516021	397109953	392701001	392701001	392701001	396546209	388597225
comm5	329079020	314865672	292509420	323194648	315995780	315995780	315995780	322866924	315228760
leslie	763766857	633914061	646193001	687282885	674837269	674837269	674837269	678092589	651993661
libq	1119494504	950434008	909262752	1044478500	1027991636	1027991636	1027991636	1020454484	999463640
black	446753684	411210516	390234920	424726632	415678440	415678440	415678440	424302312	412982804
face	643551348	604371340	540819200	625380468	606077360	606077360	606077360	615159888	603510020
ferret	632439725	566857053	531307977	594140677	576270893	576270893	576270893	583895885	570479701
fluid	654992781	606194381	564550029	630318741	608837685	608837685	608837685	616803981	605247577
freq	407450225	376150297	362191677	394421021	383887901	383887901	383887901	391575893	383089181
stream	455222660	414279240	396678740	432749884	422559124	422559124	422559124	428968968	423315004
swapt	665373993	608278997	587425165	634335789	619547433	619547433	619547433	623815593	611040521
MT-canneal	1199869517	1004703832	993824461	1058366937	1023438168	1023438168	1023438168	1032184280	995235456
MT-fluid	1729196036	1300847632	1437976552	1327814096	1318267632	1318267632	1318267632	1326192080	1229701780
mummer	1399371049	1153206893	1159825529	1213846237	1189048805	1189048805	1189048805	1197538169	1135375333
tigr	1594937504	1327226388	1323186144	1387085200	1351904992	1351904992	1351904992	1361453432	1305262880
Gmean	712038000.000	626044000.000	606711000.000	656559000.000	641394000.000	641394000.000	641394000.000	648434000.000	628859000.000
