workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	1.000	1.160	1.186	1.104	1.144	1.144	1.144	1.132	1.157
com2	1.000	1.177	1.211	1.127	1.153	1.153	1.153	1.145	1.182
com3	1.000	1.109	1.160	1.072	1.100	1.100	1.100	1.074	1.098
com4	1.000	1.075	1.126	1.044	1.058	1.058	1.058	1.041	1.064
com5	1.000	1.045	1.125	1.022	1.043	1.043	1.043	1.024	1.047
lesl	1.000	1.205	1.182	1.124	1.157	1.157	1.157	1.141	1.201
libq	1.000	1.178	1.231	1.090	1.108	1.108	1.108	1.103	1.138
blac	1.000	1.086	1.145	1.061	1.082	1.082	1.082	1.062	1.095
face	1.000	1.065	1.190	1.033	1.066	1.066	1.066	1.051	1.071
ferr	1.000	1.116	1.190	1.075	1.106	1.106	1.106	1.093	1.117
flui	1.000	1.080	1.160	1.054	1.086	1.086	1.086	1.068	1.096
freq	1.000	1.083	1.125	1.050	1.067	1.067	1.067	1.049	1.065
stre	1.000	1.099	1.148	1.066	1.087	1.087	1.087	1.070	1.094
swap	1.000	1.094	1.133	1.067	1.093	1.093	1.093	1.080	1.107
MT-c	1.000	1.194	1.207	1.162	1.196	1.196	1.196	1.186	1.227
MT-f	1.000	1.329	1.203	1.388	1.389	1.389	1.389	1.381	1.462
mumm	1.000	1.213	1.207	1.182	1.207	1.207	1.207	1.197	1.259
tigr	1.000	1.202	1.205	1.180	1.208	1.208	1.208	1.200	1.244
Gmean	1.000	1.137	1.174	1.103	1.128	1.128	1.128	1.114	1.148
