workload	20nm_base	20nm_spec	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	267.400	201.290	221.800	194.940	211.470	190.700	216.090	180.610
com2	334.220	258.580	280.430	250.120	262.130	243.700	268.730	240.600
com3	227.670	166.330	182.170	165.510	183.220	159.440	186.700	154.690
com4	191.170	156.830	167.340	157.160	162.490	151.550	168.400	147.630
com5	188.120	147.870	165.900	144.650	151.670	143.660	160.590	138.270
lesl	260.170	200.740	209.260	198.310	202.410	181.410	194.060	164.090
libq	286.640	240.110	274.070	259.040	248.030	252.660	251.540	247.950
blac	276.600	224.140	238.650	217.980	223.610	213.090	234.080	205.660
face	374.860	358.830	371.450	338.310	349.190	337.430	365.210	335.090
ferr	338.040	284.840	303.580	271.860	285.920	270.550	293.110	263.260
flui	287.150	236.140	257.660	227.530	235.980	225.610	244.460	222.340
freq	271.050	222.010	240.920	220.770	228.330	214.120	242.680	209.240
stre	280.860	230.770	246.880	224.620	238.610	221.110	245.380	214.610
swap	282.510	227.270	247.650	219.940	235.530	218.700	242.920	212.240
MT-c	375.170	298.540	312.560	299.520	295.750	280.410	300.390	274.250
MT-f	313.250	244.400	240.530	224.530	221.340	217.250	230.090	202.030
mumm	348.670	278.760	290.490	275.300	270.890	261.600	274.070	253.790
tigr	284.910	237.650	251.920	229.160	231.810	223.260	235.830	218.910
Gmean	283.268	228.773	245.030	223.835	230.943	217.592	237.235	210.539
