workload	20nm_base	20nm_norefresh	20nm_spec	20nm_bound	20nm_ref_pr_pv_fixed_bin	20nm_ref_pr_pv_archf64
com1	575873780	540139500	498279088	493023860	475244740	463425300
com2	782485281	723542953	664864877	657428773	635693925	614986765
com3	455998869	432395369	411884129	414383161	403225573	393635169
com4	381698493	366021613	357528265	361527105	354492133	347866389
com5	304423072	292706392	289545448	292594952	286034756	282683484
lesl	684250901	655885041	569651645	554447009	523669197	517189537
libq	985821508	909261536	854451420	875132888	840910212	811534104
blac	410923400	390235808	374519076	370601744	360440788	355809580
face	577093408	540818012	543112340	548019184	525380028	514377736
ferr	569872025	530522437	510174333	509728117	489449361	477414865
flui	593401525	563406717	548340033	549896161	536718769	526320417
freq	376628169	360906637	350420381	352817621	343724093	339055349
stre	417387532	396678740	382721636	381794572	371649576	364368084
swap	617937533	586746533	562338929	562246521	547590177	537829405
MT-c	1073467317	994016525	898848776	864406868	831050768	801430012
MT-f	1551946840	1437664096	1163836628	983876604	943203972	914058072
mumm	1251785245	1159592877	1031903761	982456129	941033393	911387933
tigr	1428172420	1320859244	1188612252	1125670016	1075903948	1043959656
Gmean	645034000.000	607024000.000	567992000.000	558504000.000	539560000.000	527091000.000
COM	473798000.000	448289000.000	426581000.000	427076000.000	415286000.000	406004000.000
SPEC	821309000.000	772251000.000	697667000.000	696574000.000	663595000.000	647856000.000
PARS	617099000.000	581246000.000	548443000.000	536248000.000	518906000.000	507632000.000
BIO	1337070000.000	1237600000.000	1107490000.000	1051630000.000	1006210000.000	975424000.000
