workload	20nm_base	20nm_spec	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	575873780	498279088	525853556	494113956	508738496	487715172	515868488	475244740
com2	782485281	664864877	701503113	648117185	667718753	640684425	678941169	635693925
com3	455998869	411884129	426343345	410995065	422190541	406744473	428517849	403225573
com4	381698493	357528265	368515929	359248965	362317333	355745769	368474269	354492133
com5	304423072	289545448	297667524	287700328	289224280	287041920	295823068	286034756
lesl	684250901	569651645	591822405	573014741	582009997	545817941	573262713	523669197
libq	985821508	854451420	913730008	884338900	865069956	854680780	872096300	840910212
blac	410923400	374519076	384042116	368875040	373170388	365145364	381623472	360440788
face	577093408	543112340	559533520	530819948	537772788	528897652	552260592	525380028
ferr	569872025	510174333	530925865	498478225	511505101	495227773	523537141	489449361
flui	593401525	548340033	568840801	540648365	547522193	538794325	557473541	536718769
freq	376628169	350420381	361151849	349727105	352775209	346425405	362132457	343724093
stre	417387532	382721636	394664144	378097992	385996248	375253832	392826892	371649576
swap	617937533	562338929	584322509	555537361	570956801	554086865	578638421	547590177
MT-c	1073467317	898848776	921629501	892501437	882137076	844642024	894431988	831050768
MT-f	1551946840	1163836628	1129525788	1068441020	1057316180	1028691656	1069619348	943203972
mumm	1251785245	1031903761	1054891477	1016306749	1000020905	968684625	1010707289	941033393
tigr	1428172420	1188612252	1210422336	1157259116	1143479960	1100204720	1158658116	1075903948
Gmean	645034000.000	567992000.000	586307000.000	560667000.000	565756000.000	549419000.000	574446000.000	539560000.000
COM	473798000.000	426581000.000	443985000.000	423380000.000	431901000.000	419414000.000	439295000.000	415286000.000
SPEC	821309000.000	697667000.000	735368000.000	711856000.000	709563000.000	683008000.000	707065000.000	663595000.000
PARS	617099000.000	548443000.000	562378000.000	536729000.000	542581000.000	528653000.000	553096000.000	518906000.000
BIO	1337070000.000	1107490000.000	1129980000.000	1084500000.000	1069350000.000	1032350000.000	1082160000.000	1006210000.000
