workload	20nm_base	20nm_spec	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	1.000	1.156	1.095	1.165	1.132	1.181	1.116	1.212
com2	1.000	1.177	1.115	1.207	1.172	1.221	1.153	1.231
com3	1.000	1.107	1.070	1.109	1.080	1.121	1.064	1.131
com4	1.000	1.068	1.036	1.062	1.053	1.073	1.036	1.077
com5	1.000	1.051	1.023	1.058	1.053	1.061	1.029	1.064
lesl	1.000	1.201	1.156	1.194	1.176	1.254	1.194	1.307
libq	1.000	1.154	1.079	1.115	1.140	1.153	1.130	1.172
blac	1.000	1.097	1.070	1.114	1.101	1.125	1.077	1.140
face	1.000	1.063	1.031	1.087	1.073	1.091	1.045	1.098
ferr	1.000	1.117	1.073	1.143	1.114	1.151	1.089	1.164
flui	1.000	1.082	1.043	1.098	1.084	1.101	1.064	1.106
freq	1.000	1.075	1.043	1.077	1.068	1.087	1.040	1.096
stre	1.000	1.091	1.058	1.104	1.081	1.112	1.063	1.123
swap	1.000	1.099	1.058	1.112	1.082	1.115	1.068	1.128
MT-c	1.000	1.194	1.165	1.203	1.217	1.271	1.200	1.292
MT-f	1.000	1.333	1.374	1.453	1.468	1.509	1.451	1.645
mumm	1.000	1.213	1.187	1.232	1.252	1.292	1.239	1.330
tigr	1.000	1.202	1.180	1.234	1.249	1.298	1.233	1.327
Gmean	1.000	1.136	1.100	1.150	1.140	1.174	1.123	1.195
