workload	20nm_base	20nm_spec	20nm_myarch	20nm_mydate	20nm_ref_pr_pv_fixed_bin	20nm_MCR-rfc2	20nm_MCR-rfc4
com1	575873780	498279088	528167728	520075712	475244740	484447736	461389448
com2	782485281	664864877	708673193	696056369	635693925	633614021	612321057
com3	455998869	411884129	431995041	427731325	403225573	401043365	389463553
com4	381698493	357528265	369868481	367691205	354492133	351875213	345655101
com5	304423072	289545448	297362692	295269924	286034756	286328148	282285776
lesl	684250901	569651645	609851565	597922349	523669197	532123813	503002209
libq	985821508	854451420	901382148	891748708	840910212	851981944	812960612
blac	410923400	374519076	388412592	385766832	360440788	361406428	354916540
face	577093408	543112340	557494208	553750208	525380028	534794904	525228712
ferr	569872025	510174333	533852873	528077409	489449361	493570913	480467081
flui	593401525	548340033	568950133	566803621	536718769	535153965	524235613
freq	376628169	350420381	361166957	361104449	343724093	343626873	336687809
stre	417387532	382721636	397499732	393141656	371649576	373188472	363438644
swap	617937533	562338929	582863717	580310797	547590177	551792493	532710141
MT-c	1073467317	898848776	955804708	935876944	831050768	836810372	811146016
MT-f	1551946840	1163836628	1274634508	1222326644	943203972	961704416	879560168
mumm	1251785245	1031903761	1104306709	1079352393	941033393	949755401	920582329
tigr	1428172420	1188612252	1256703036	1231009756	1075903948	1097361392	1075697512
Gmean	645034000.000	567992000.000	596339000.000	588536000.000	539560000.000	543347000.000	525978000.000
COM	473798000.000	426581000.000	446690000.000	441689000.000	415286000.000	415626000.000	403803000.000
SPEC	821309000.000	697667000.000	741424000.000	730203000.000	663595000.000	673320000.000	639469000.000
PARS	617099000.000	548443000.000	573441000.000	566677000.000	518906000.000	522593000.000	506236000.000
BIO	1337070000.000	1107490000.000	1178040000.000	1152690000.000	1006210000.000	1020890000.000	995122000.000
