workload	com1	com2	com3	com4	com5	lesl	libq	blac	face	ferr	flui	freq	stre	swap	MT-c	MT-f	mumm	tigr	Amean	COM	SPEC	PARS	BIO
20nm_base_bkgd	.422	.402	.462	.505	.536	.448	.385	.480	.401	.402	.468	.471	.451	.461	.394	.590	.401	.396	.433	.442	.407	.458	.398
20nm_base_act	.273	.290	.242	.207	.183	.254	.303	.228	.290	.290	.237	.235	.251	.243	.296	.140	.289	.291	.264	.258	.285	.245	.290
20nm_base_rdwr	.203	.211	.178	.153	.133	.186	.222	.167	.209	.211	.172	.171	.183	.177	.217	.105	.218	.223	.195	.189	.209	.179	.221
20nm_base_ref	.100	.095	.116	.133	.146	.111	.089	.124	.097	.095	.120	.121	.113	.117	.091	.163	.090	.087	.105	.109	.097	.116	.089
20nm_ref_pr_pv_64_bkgd	.393	.368	.436	.490	.525	.396	.362	.454	.390	.378	.450	.453	.430	.438	.349	.445	.350	.349	.392	.416	.374	.410	.350
20nm_ref_pr_pv_64_act	.274	.291	.243	.207	.184	.254	.302	.228	.290	.289	.237	.235	.251	.242	.297	.140	.289	.291	.264	.258	.285	.245	.290
20nm_ref_pr_pv_64_rdwr	.204	.211	.178	.153	.133	.185	.221	.168	.208	.210	.172	.171	.183	.177	.217	.105	.217	.223	.195	.189	.208	.179	.221
20nm_ref_pr_pv_64_ref	.092	.085	.109	.128	.143	.096	.082	.116	.094	.088	.115	.116	.107	.111	.079	.119	.076	.074	.093	.102	.087	.101	.075
20nm_ref_pr_pv_default_bkgd	.375	.346	.423	.479	.505	.389	.354	.438	.374	.360	.431	.443	.416	.420	.340	.424	.342	.338	.378	.398	.367	.395	.340
20nm_ref_pr_pv_default_act	.274	.290	.243	.207	.182	.255	.302	.228	.289	.289	.237	.236	.251	.242	.296	.140	.289	.291	.264	.258	.285	.245	.290
20nm_ref_pr_pv_default_rdwr	.203	.210	.178	.153	.132	.186	.221	.167	.208	.210	.172	.172	.183	.176	.216	.105	.217	.223	.195	.189	.209	.179	.221
20nm_ref_pr_pv_default_ref	.018	.017	.025	.027	.021	.017	.028	.024	.017	.017	.021	.023	.023	.020	.026	.035	.023	.023	.023	.020	.024	.024	.023
20nm_ref_pr_pv_multi_dimm_bkgd	.381	.354	.431	.483	.510	.392	.348	.440	.380	.367	.438	.446	.421	.430	.338	.421	.338	.336	.379	.405	.364	.397	.337
20nm_ref_pr_pv_multi_dimm_act	.273	.290	.242	.207	.183	.254	.302	.227	.291	.289	.238	.236	.250	.242	.296	.140	.289	.291	.264	.257	.285	.245	.290
20nm_ref_pr_pv_multi_dimm_rdwr	.203	.210	.177	.153	.133	.185	.221	.167	.209	.210	.173	.172	.183	.177	.216	.105	.218	.223	.195	.188	.209	.179	.221
20nm_ref_pr_pv_multi_dimm_ref	.037	.029	.054	.057	.044	.035	.028	.053	.036	.036	.044	.050	.051	.041	.026	.037	.023	.026	.034	.040	.030	.038	.025
20nm_ref_pr_pv_multi_bin_bkgd	.371	.344	.420	.475	.505	.373	.346	.434	.374	.358	.431	.439	.413	.420	.326	.411	.329	.326	.370	.395	.355	.388	.328
20nm_ref_pr_pv_multi_bin_act	.274	.291	.243	.207	.182	.254	.302	.228	.291	.289	.238	.236	.251	.242	.295	.140	.289	.291	.264	.258	.285	.245	.290
20nm_ref_pr_pv_multi_bin_rdwr	.203	.211	.178	.153	.132	.186	.222	.168	.209	.210	.172	.172	.183	.177	.216	.105	.217	.223	.195	.189	.209	.179	.220
20nm_ref_pr_pv_multi_bin_ref	.020	.021	.029	.031	.026	.017	.028	.025	.018	.018	.023	.024	.024	.021	.027	.034	.023	.021	.024	.024	.024	.025	.022
20nm_ref_pr_pv_fixed_dimm_bkgd	.388	.359	.436	.490	.520	.388	.350	.450	.387	.375	.444	.456	.427	.434	.341	.425	.340	.339	.383	.411	.364	.403	.339
20nm_ref_pr_pv_fixed_dimm_act	.275	.291	.242	.207	.183	.255	.302	.228	.290	.289	.238	.236	.250	.242	.296	.140	.289	.292	.264	.258	.285	.245	.290
20nm_ref_pr_pv_fixed_dimm_rdwr	.204	.211	.177	.153	.133	.186	.221	.167	.209	.210	.172	.172	.182	.176	.216	.105	.217	.224	.195	.189	.209	.179	.221
20nm_ref_pr_pv_fixed_dimm_ref	.072	.054	.104	.128	.141	.067	.046	.115	.070	.069	.084	.117	.106	.078	.043	.059	.037	.039	.064	.085	.053	.072	.038
20nm_ref_pr_pv_fixed_bin_bkgd	.363	.341	.418	.471	.505	.360	.341	.428	.373	.355	.428	.435	.410	.416	.322	.381	.323	.321	.363	.391	.348	.380	.322
20nm_ref_pr_pv_fixed_bin_act	.274	.290	.243	.206	.183	.254	.302	.227	.291	.288	.237	.236	.251	.243	.296	.140	.289	.291	.264	.258	.285	.245	.290
20nm_ref_pr_pv_fixed_bin_rdwr	.203	.210	.178	.152	.133	.186	.221	.167	.209	.209	.172	.172	.183	.177	.216	.105	.218	.223	.195	.189	.208	.179	.221
20nm_ref_pr_pv_fixed_bin_ref	.024	.038	.041	.042	.037	.018	.028	.027	.022	.022	.028	.027	.026	.025	.028	.036	.024	.021	.027	.035	.025	.027	.023
