workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	274.520	207.920	242.090	231.630	206.340	211.350	204.410	220.720	190.980
comm2	343.240	265.450	306.590	296.480	268.640	271.480	265.000	280.460	251.070
comm3	231.090	171.580	203.050	191.860	184.190	184.980	175.630	191.550	166.090
comm4	197.610	163.450	174.960	176.650	166.440	166.750	165.510	180.630	153.610
comm5	194.250	154.880	168.890	178.640	159.040	155.460	150.150	174.800	149.150
leslie	289.410	213.040	236.230	226.750	204.410	208.000	200.450	215.210	189.020
libq	298.520	265.580	253.150	271.870	260.620	252.540	257.160	261.350	255.310
black	288.020	232.640	252.320	256.470	226.080	229.450	225.730	248.520	214.420
face	385.920	370.220	344.710	382.580	349.890	355.640	348.360	377.030	347.150
ferret	347.570	293.280	306.840	313.160	283.090	286.650	281.980	298.910	272.200
fluid	296.810	241.740	264.370	268.670	236.940	246.710	234.910	248.180	227.220
freq	278.430	231.590	247.290	252.050	231.470	236.290	230.340	250.080	218.240
stream	288.820	237.650	256.630	259.850	245.990	244.720	237.870	255.620	224.120
swapt	287.920	229.950	253.850	261.480	233.650	234.820	231.900	250.730	220.480
MT-canneal	385.250	306.750	345.600	332.750	310.700	310.270	308.860	315.050	285.920
MT-fluid	322.910	250.840	287.780	259.520	236.940	234.170	233.080	249.700	216.300
mummer	358.100	286.110	322.120	306.630	283.770	282.380	278.880	286.730	263.720
tigr	292.850	242.100	263.590	260.060	236.440	238.900	235.150	245.240	224.670
Gmean	292.795	237.051	257.949	257.604	235.646	236.966	232.056	248.415	221.158
