workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
com1	590448652	509045756	538295080	533811140	507158988	506802072	501513072	518470124	487321656
com2	802167757	678394073	723664769	715883437	672369193	679183805	667550909	694105241	651893053
com3	463175125	418710249	430798781	435553873	420671933	423128073	421067549	434020421	412573365
com4	387619589	363777961	366021613	374907953	366335129	368392037	365329501	375912953	360017081
com5	309142364	294728916	292389816	302992416	292518720	291944876	291472764	301536400	289778844
lesl	723094577	593871985	635025833	617125845	577489477	576988685	571064761	584485033	556435049
libq	1027363232	887741868	909261840	959099956	885922544	878612528	875161176	894646924	864741188
blac	420412796	383043288	390235984	392178672	375904780	376691512	374556940	389836720	366324344
face	590616416	555199212	540818276	571254264	544088572	546329964	542821184	563140888	539019952
ferr	582805981	522634509	530881817	544110165	513610289	517095517	512214573	531120397	503364021
flui	606647209	557758989	564821213	580157437	554143041	553171321	554206965	565751181	546944861
freq	383068777	357323001	360728001	369309341	354458141	355467561	353391165	366289181	349585553
stre	425258644	389012996	396678740	400498148	388184620	386962224	386345964	399499772	378276144
swap	627099653	568961817	585769041	589345765	569048757	575508973	568511953	581425661	558132861
MT-c	1100970205	921784696	993769361	952906888	902668720	901855148	898399540	915320088	852197052
MT-f	1593603496	1193638852	1437747612	1159560852	1110540308	1090458016	1088795532	1114353936	1005617700
mumm	1284303417	1058444789	1159593361	1082493245	1024026557	1020874185	1012319313	1035111049	968938197
tigr	1464947204	1217267764	1322568652	1237156632	1183274480	1185260552	1168699600	1201303044	1108833316
Gmean	660865000.000	580943000.000	605736000.000	600172000.000	572421000.000	572781000.000	568844000.000	585756000.000	554180000.000
