workload	20nm_base	20nm_spec	20nm_norefresh	20nm_ref_pr_pv_64	20nm_ref_pr_pv_default	20nm_ref_pr_pv_multi_dimm	20nm_ref_pr_pv_multi_bin	20nm_ref_pr_pv_fixed_dimm	20nm_ref_pr_pv_fixed_bin
comm1	1.000	0.862	0.912	0.915	0.865	0.870	0.860	0.891	0.831
comm2	1.000	0.846	0.902	0.912	0.852	0.857	0.846	0.878	0.821
comm3	1.000	0.904	0.930	0.946	0.918	0.922	0.911	0.943	0.894
comm4	1.000	0.938	0.944	0.971	0.948	0.950	0.948	0.972	0.932
comm5	1.000	0.953	0.946	0.984	0.950	0.947	0.944	0.980	0.942
leslie	1.000	0.821	0.878	0.868	0.819	0.826	0.812	0.837	0.780
libq	1.000	0.864	0.885	0.917	0.880	0.865	0.863	0.881	0.849
black	1.000	0.911	0.928	0.948	0.904	0.905	0.901	0.936	0.880
face	1.000	0.940	0.916	0.972	0.926	0.928	0.922	0.956	0.915
ferret	1.000	0.897	0.911	0.943	0.891	0.895	0.887	0.919	0.869
fluid	1.000	0.919	0.931	0.962	0.912	0.923	0.909	0.932	0.900
freq	1.000	0.933	0.942	0.964	0.934	0.938	0.931	0.961	0.916
stream	1.000	0.915	0.933	0.954	0.929	0.925	0.916	0.945	0.895
swapt	1.000	0.907	0.934	0.956	0.915	0.915	0.911	0.939	0.893
MT-canneal	1.000	0.837	0.903	0.884	0.839	0.838	0.834	0.848	0.784
MT-fluid	1.000	0.749	0.902	0.766	0.742	0.731	0.727	0.743	0.655
mummer	1.000	0.824	0.903	0.867	0.819	0.816	0.808	0.824	0.766
tigr	1.000	0.831	0.903	0.864	0.830	0.829	0.818	0.839	0.768
Gmean	1.000	0.879	0.917	0.920	0.880	0.880	0.873	0.899	0.846
