workload	com1	com2	com3	com4	com5	lesl	libq	blac	face	ferr	flui	freq	stre	swap	MT-c	MT-f	mumm	tigr	Amean
20nm_base_bkgd	.415	.396	.452	.492	.520	.444	.383	.469	.396	.396	.458	.460	.442	.451	.389	.571	.396	.392	.426
20nm_base_act	.265	.282	.235	.200	.176	.242	.292	.219	.282	.282	.229	.227	.243	.235	.288	.133	.281	.283	.255
20nm_base_rdwr	.196	.204	.172	.147	.128	.176	.214	.161	.202	.204	.166	.166	.177	.171	.210	.100	.211	.217	.188
20nm_base_ref	.121	.116	.140	.159	.174	.136	.109	.149	.118	.116	.145	.145	.137	.141	.111	.194	.110	.106	.128
20nm_spec_bkgd	.364	.341	.408	.458	.495	.372	.337	.427	.371	.358	.422	.428	.406	.410	.334	.435	.336	.336	.371
20nm_spec_act	.266	.281	.235	.199	.177	.242	.292	.219	.282	.281	.229	.227	.243	.235	.288	.133	.281	.284	.255
20nm_spec_rdwr	.197	.204	.171	.147	.128	.176	.213	.160	.202	.204	.166	.166	.177	.171	.210	.100	.211	.217	.188
20nm_spec_ref	.105	.098	.126	.148	.166	.112	.094	.135	.111	.104	.133	.135	.125	.128	.093	.145	.091	.088	.109
20nm_norefresh_bkgd	.388	.367	.426	.468	.497	.402	.349	.439	.370	.367	.432	.437	.418	.429	.360	.520	.367	.365	.396
20nm_norefresh_act	.265	.282	.235	.199	.177	.242	.292	.218	.283	.280	.229	.227	.242	.236	.287	.132	.281	.284	.255
20nm_norefresh_rdwr	.197	.204	.172	.147	.128	.177	.214	.160	.203	.203	.166	.166	.177	.172	.210	.100	.211	.217	.189
20nm_norefresh_ref	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20nm_ref_pr_pv_64_bkgd	.382	.361	.430	.478	.510	.389	.362	.441	.385	.375	.441	.446	.422	.429	.346	.430	.347	.344	.385
20nm_ref_pr_pv_64_act	.264	.282	.236	.200	.176	.242	.292	.219	.282	.282	.229	.228	.244	.236	.287	.132	.281	.284	.255
20nm_ref_pr_pv_64_rdwr	.196	.204	.173	.147	.128	.176	.213	.160	.203	.204	.166	.166	.178	.172	.210	.100	.211	.217	.188
20nm_ref_pr_pv_64_ref	.110	.103	.132	.154	.170	.116	.101	.138	.114	.108	.139	.140	.129	.133	.096	.141	.093	.089	.113
20nm_ref_pr_pv_default_bkgd	.368	.345	.417	.467	.496	.370	.341	.426	.371	.358	.425	.430	.411	.415	.333	.415	.333	.334	.370
20nm_ref_pr_pv_default_act	.265	.282	.235	.199	.177	.242	.291	.219	.283	.281	.230	.227	.244	.235	.288	.132	.281	.283	.255
20nm_ref_pr_pv_default_rdwr	.196	.204	.172	.147	.128	.177	.213	.161	.203	.204	.166	.165	.177	.171	.210	.100	.211	.217	.189
20nm_ref_pr_pv_default_ref	.043	.041	.061	.067	.057	.042	.046	.061	.043	.042	.052	.058	.059	.049	.044	.065	.039	.043	.048
20nm_ref_pr_pv_multi_dimm_bkgd	.368	.348	.420	.471	.496	.370	.339	.426	.371	.359	.423	.433	.408	.419	.332	.408	.333	.334	.370
20nm_ref_pr_pv_multi_dimm_act	.265	.282	.236	.200	.177	.242	.292	.219	.282	.281	.229	.228	.242	.235	.287	.132	.281	.284	.255
20nm_ref_pr_pv_multi_dimm_rdwr	.196	.204	.172	.147	.128	.177	.213	.160	.202	.204	.165	.166	.177	.171	.209	.100	.211	.217	.188
20nm_ref_pr_pv_multi_dimm_ref	.049	.045	.070	.077	.063	.047	.046	.069	.049	.048	.058	.067	.066	.056	.044	.063	.039	.045	.051
20nm_ref_pr_pv_multi_bin_bkgd	.364	.343	.417	.467	.496	.367	.338	.426	.369	.358	.425	.430	.408	.415	.331	.408	.330	.331	.368
20nm_ref_pr_pv_multi_bin_act	.264	.282	.235	.200	.177	.242	.292	.220	.282	.282	.230	.228	.243	.235	.287	.132	.281	.284	.255
20nm_ref_pr_pv_multi_bin_rdwr	.196	.204	.172	.147	.128	.177	.213	.161	.202	.204	.166	.166	.177	.171	.210	.100	.211	.217	.188
20nm_ref_pr_pv_multi_bin_ref	.044	.041	.062	.068	.057	.042	.046	.061	.043	.043	.053	.058	.059	.050	.044	.063	.039	.042	.048
20nm_ref_pr_pv_fixed_dimm_bkgd	.375	.353	.427	.477	.510	.373	.344	.438	.380	.366	.431	.443	.419	.423	.336	.416	.335	.338	.376
20nm_ref_pr_pv_fixed_dimm_act	.266	.281	.235	.199	.177	.242	.292	.219	.281	.280	.229	.228	.243	.235	.288	.132	.281	.284	.255
20nm_ref_pr_pv_fixed_dimm_rdwr	.197	.204	.172	.147	.128	.176	.213	.160	.202	.203	.166	.166	.177	.171	.210	.100	.211	.217	.188
20nm_ref_pr_pv_fixed_dimm_ref	.087	.072	.124	.154	.170	.081	.065	.137	.085	.084	.102	.139	.128	.096	.063	.088	.055	.059	.083
20nm_ref_pr_pv_fixed_bin_bkgd	.357	.336	.409	.460	.491	.358	.335	.417	.368	.352	.418	.426	.403	.409	.318	.381	.319	.318	.359
20nm_ref_pr_pv_fixed_bin_act	.265	.282	.234	.199	.176	.241	.292	.219	.282	.281	.229	.228	.244	.236	.287	.132	.281	.284	.255
20nm_ref_pr_pv_fixed_bin_rdwr	.196	.204	.171	.147	.128	.176	.214	.161	.203	.204	.165	.166	.178	.172	.210	.100	.211	.217	.188
20nm_ref_pr_pv_fixed_bin_ref	.046	.048	.067	.071	.062	.041	.046	.060	.046	.045	.055	.059	.058	.052	.045	.057	.039	.039	.048
