wkld	4Gb	8Gb	16Gb	32Gb
20nm_base_bkgd	0.446	0.437	0.399	0.358
20nm_base_act	0.248	0.24	0.214	0.185
20nm_base_rdwr	0.182	0.176	0.157	0.136
20nm_base_ref	0.11	0.133	0.216	0.308
20nm_spec_bkgd	0.396	0.388	0.355	0.318
20nm_spec_act	0.248	0.24	0.214	0.185
20nm_spec_rdwr	0.182	0.176	0.157	0.136
20nm_spec_ref	0.097	0.117	0.19	0.271
20nm_norefresh_bkgd	0.424	0.408	0.364	0.315
20nm_norefresh_act	0.248	0.24	0.214	0.185
20nm_norefresh_rdwr	0.182	0.176	0.157	0.136
20nm_norefresh_ref	0.0	0.0	0.0	0.0
20nm_ref_pr_pv_64_bkgd	0.411	0.404	0.369	0.33
20nm_ref_pr_pv_64_act	0.248	0.24	0.214	0.185
20nm_ref_pr_pv_64_rdwr	0.182	0.176	0.157	0.136
20nm_ref_pr_pv_64_ref	0.1	0.121	0.196	0.279
20nm_ref_pr_pv_default_bkgd	0.397	0.389	0.359	0.324
20nm_ref_pr_pv_default_act	0.248	0.24	0.214	0.185
20nm_ref_pr_pv_default_rdwr	0.182	0.176	0.157	0.136
20nm_ref_pr_pv_default_ref	0.022	0.05	0.116	0.204
20nm_ref_pr_pv_multi_dimm_bkgd	0.4	0.389	0.359	0.324
20nm_ref_pr_pv_multi_dimm_act	0.248	0.24	0.214	0.185
20nm_ref_pr_pv_multi_dimm_rdwr	0.182	0.176	0.157	0.136
20nm_ref_pr_pv_multi_dimm_ref	0.038	0.055	0.116	0.204
20nm_ref_pr_pv_multi_bin_bkgd	0.391	0.387	0.359	0.324
20nm_ref_pr_pv_multi_bin_act	0.248	0.24	0.214	0.185
20nm_ref_pr_pv_multi_bin_rdwr	0.182	0.176	0.157	0.136
20nm_ref_pr_pv_multi_bin_ref	0.023	0.05	0.116	0.204
20nm_ref_pr_pv_fixed_dimm_bkgd	0.405	0.396	0.365	0.328
20nm_ref_pr_pv_fixed_dimm_act	0.248	0.24	0.214	0.185
20nm_ref_pr_pv_fixed_dimm_rdwr	0.182	0.176	0.157	0.136
20nm_ref_pr_pv_fixed_dimm_ref	0.073	0.094	0.165	0.248
20nm_ref_pr_pv_fixed_bin_bkgd	0.385	0.379	0.351	0.32
20nm_ref_pr_pv_fixed_bin_act	0.248	0.24	0.214	0.185
20nm_ref_pr_pv_fixed_bin_rdwr	0.182	0.176	0.157	0.136
20nm_ref_pr_pv_fixed_bin_ref	0.028	0.051	0.115	0.201
