workload	single_tWR-0_16	single_tWR-0_33	single_tWR-0_31	spare_8_8-spare_8_8	ECC-ECC	base0-4096_chunks	matchb_chip-4096_chunks	sort0-4096_chunks	matchs_chip-4096_chunks
429.mcf	1.000	1.272	1.233	1.216	1.206	1.201	1.176	1.186	1.133
470.lbm	1.000	1.417	1.366	1.343	1.329	1.313	1.280	1.265	1.199
403.gcc	1.000	1.376	1.328	1.306	1.294	1.283	1.251	1.249	1.182
401.bzi	1.000	1.336	1.293	1.274	1.262	1.250	1.222	1.211	1.158
447.dea	1.000	1.240	1.207	1.194	1.186	1.181	1.160	1.158	1.116
400.per	1.000	1.168	1.148	1.136	1.131	1.124	1.109	1.106	1.078
spec_high	1.000	1.364	1.317	1.295	1.282	1.273	1.242	1.242	1.176
spec_all	1.000	1.253	1.221	1.206	1.198	1.190	1.169	1.166	1.123
429.mcf	1.000	1.294	1.253	1.258	1.253	1.143	1.130	1.047	1.033
470.lbm	1.000	1.416	1.366	1.342	1.329	1.280	1.256	1.204	1.157
403.gcc	1.000	1.371	1.324	1.302	1.290	1.172	1.165	1.001	0.999
401.bzi	1.000	1.322	1.280	1.262	1.251	1.136	1.132	0.985	0.985
447.dea	1.000	1.213	1.192	1.169	1.158	1.060	1.067	0.987	0.987
400.per	1.000	1.084	1.074	1.068	1.066	1.038	1.037	1.000	0.999
spec_high	1.000	1.348	1.303	1.285	1.275	1.183	1.170	1.062	1.047
spec_all	1.000	1.224	1.196	1.185	1.179	1.112	1.106	1.025	1.019
